id,nombre
niujlcyjulnsrfss48567ijaa,Cementista
wejbvnpjfddprayi56851nywm,Villa Hipodromo
xiixkzqhypqkmtyr19648wlcf,Jockey Club
uuouhvydksjxykxe23230jxen,COP
adrithlvwtdhgcxm44467psde,Regatas
jlmvlskhdofdgywx21537tyml,Independiente Rivadavia
clv9y14tc0002s5sdcij3kdes,Muni San Martin
iqsonebbiywvoxzr63562kwcg,Banco Nacion
tziicpsffzkwooln63257wnaj,Andes Talleres
rvrkcfvivhratbxd30828eoll,UMAZA
xxvykydpifsapfau72439crkk,Don Orione
tythronuthqkvmdl94637zbol,CUC
buqhdbuybepnrwfj45861sfmv,Aleman
evgubysfaryqquxp91003epne,Don Bosco
qcovjxoltlivasyy94560eqge,Vistalba La Colonia
tpuenmmsfepzkuvs52687qkrz,Godoy Cruz
